2026-02-01 20:45:02 | I | optimasol.main | Boucle principale démarrée (tâches périodiques)
2026-02-01 20:45:02 | I | optimasol.main | Traitement optimisation effectué pour tous les clients
2026-02-01 20:45:02 | I | optimasol.main | Traitement optimisation effectué pour tous les clients
2026-02-01 20:45:02 | I | optimasol.core.all_clients | Starting weather forecast update for 0 leader(s)
2026-02-01 20:45:02 | I | optimasol.core.all_clients | Starting weather forecast update for 0 leader(s)
2026-02-01 20:45:02 | I | optimasol.core.all_clients | Weather information updated successfully
2026-02-01 20:45:02 | I | optimasol.core.all_clients | Weather information updated successfully
2026-02-01 20:45:02 | I | optimasol.core.all_clients | Weather forecast update completed: 0/0 leaders updated successfully
2026-02-01 20:45:02 | I | optimasol.core.all_clients | Weather forecast update completed: 0/0 leaders updated successfully
2026-02-01 20:45:02 | I | optimasol.tasks | Météo: mise à jour des prévisions réussie
2026-02-01 20:45:02 | I | optimasol.tasks | Météo: mise à jour des prévisions réussie
2026-02-01 20:45:02 | I | optimasol.main | Mise à jour météo déclenchée
2026-02-01 20:45:02 | I | optimasol.main | Mise à jour météo déclenchée
2026-02-01 20:45:02 | I | optimasol.tasks | Rapports de mesures envoyés à la BDD
2026-02-01 20:45:02 | I | optimasol.tasks | Rapports de mesures envoyés à la BDD
2026-02-01 20:45:02 | I | optimasol.main | Synchronisation BDD terminée
2026-02-01 20:45:02 | I | optimasol.main | Synchronisation BDD terminée
2026-02-01 20:45:02 | I | optimasol.main | Correction de rendement effectuée
2026-02-01 20:45:02 | I | optimasol.main | Correction de rendement effectuée
2026-02-01 20:45:08 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 20:45:08 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 20:45:21 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 20:45:21 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 20:45:26 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 20:45:26 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 20:45:39 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 20:45:39 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 20:45:39 | I | optimasol.cli | Signal SIGTERM envoyé au service (pid=24814)
2026-02-01 21:27:43 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:27:43 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:30:20 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:30:20 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:30:46 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:30:46 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:30:58 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:30:58 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:31:06 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:31:06 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:31:14 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:31:14 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:34:56 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:34:56 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:34:56 | I | optimasol.cli | Clé générée pour client 10: OPT-TS742
2026-02-01 21:36:21 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:36:21 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:36:21 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver initialization: serial=PVROUTER001
2026-02-01 21:36:21 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: starting MQTT connection
2026-02-01 21:36:21 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: network loop started - auto-reconnection enabled
2026-02-01 21:36:21 | I | optimasol.core.client_model | Client 1 initialized successfully and driver started
2026-02-01 21:36:21 | I | optimasol.core.all_clients | Weather information updated successfully
2026-02-01 21:36:21 | I | optimasol.core.all_clients | Client 1 added as new leader (no nearby leaders found)
2026-02-01 21:36:21 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:36:21 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:36:34 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:36:34 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:36:54 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:36:54 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:36:54 | I | optimasol.cli | Clé générée pour client 10: OPT-HW0HN
2026-02-01 21:37:07 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:37:07 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver initialization: serial=PVROUTER001
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: starting MQTT connection
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: network loop started - auto-reconnection enabled
2026-02-01 21:37:07 | I | optimasol.core.client_model | Client 1 initialized successfully and driver started
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver initialization: serial=PVROUTER001
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: starting MQTT connection
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: network loop started - auto-reconnection enabled
2026-02-01 21:37:07 | I | optimasol.core.client_model | Client 1 initialized successfully and driver started
2026-02-01 21:37:07 | I | optimasol.core.all_clients | Weather information updated successfully
2026-02-01 21:37:07 | E | optimasol.core.all_clients | Failed to add client: client ID 1 already exists
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:07 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:07 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:07 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:08 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:08 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:08 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:08 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:08 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:08 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:09 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:09 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:09 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:09 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:09 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:09 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:10 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:10 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:10 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:10 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:10 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:10 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:12 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
